NO,SOAL,PILIHAN A,PILIHAN B,PILIHAN C,PILIHAN D,KUNCI,timer,GAMBAR
1,Hasil dari $-12 + 7$ adalah ...,$5$,$-5$,$19$,$-19$,B,60,
2,Hasil dari $8 - (-4)$ adalah ...,$4$,$-4$,$12$,$-12$,C,60,
3,Hasil dari $-6 \times (-5)$ adalah ...,$-30$,$30$,$-11$,$11$,B,60,
4,Hasil dari $-24 : 3$ adalah ...,$8$,$-8$,$21$,$-27$,B,60,
5,Operasi hitung campuran: $5 + 2 \times 10$ adalah ...,$70$,$25$,$20$,$15$,B,60,
6,"Suhu mula-mula $-5^{\circ}\text{C}$, kemudian naik $8^{\circ}\text{C}$. Suhu sekarang adalah ...",$3^{\circ}\text{C}$,$-3^{\circ}\text{C}$,$13^{\circ}\text{C}$,$-13^{\circ}\text{C}$,A,60,
7,Nilai $n$ yang memenuhi $15 + n = -5$ adalah ...,$10$,$-10$,$20$,$-20$,D,60,
8,Sifat asosiatif pada penjumlahan ditunjukkan oleh ...,$a+b = b+a$,$(a+b)+c = a+(b+c)$,$a(b+c) = ab+ac$,$a+0 = a$,B,60,
9,Hasil dari $20 - 12 : (-4)$ adalah ...,$-2$,$2$,$17$,$23$,D,60,
10,Lawan (invers aditif) dari bilangan $18$ adalah ...,$18$,$-18$,$\frac{1}{18}$,$0$,B,60,
11,Hasil dari $(-3)^3$ adalah ...,$9$,$-9$,$27$,$-27$,D,60,
12,"Urutan bilangan $-5, 2, -8, 0, 4$ dari yang terkecil adalah ...","$-8, -5, 0, 2, 4$","$0, 2, 4, -5, -8$","$-5, -8, 0, 2, 4$","$4, 2, 0, -5, -8$",A,60,
13,Pecahan yang senilai dengan $\frac{2}{3}$ adalah ...,$\frac{4}{5}$,$\frac{6}{9}$,$\frac{5}{6}$,$\frac{3}{2}$,B,60,
14,Bentuk sederhana dari $\frac{18}{24}$ adalah ...,$\frac{2}{3}$,$\frac{3}{4}$,$\frac{6}{8}$,$\frac{9}{12}$,B,60,
15,Hasil dari $\frac{1}{4} + \frac{2}{4}$ adalah ...,$\frac{3}{8}$,$\frac{3}{4}$,$\frac{2}{8}$,$\frac{1}{2}$,B,60,
16,Hasil dari $\frac{1}{2} + \frac{1}{3}$ adalah ...,$\frac{2}{5}$,$\frac{1}{6}$,$\frac{5}{6}$,$\frac{2}{6}$,C,60,
17,Hasil dari $\frac{3}{4} - \frac{1}{2}$ adalah ...,$\frac{1}{4}$,$\frac{2}{4}$,$\frac{2}{2}$,$\frac{1}{2}$,A,60,
18,Hasil perkalian $\frac{2}{5} \times \frac{10}{3}$ adalah ...,$\frac{20}{8}$,$\frac{12}{15}$,$\frac{4}{3}$,$\frac{3}{4}$,C,60,
19,Hasil pembagian $\frac{4}{5} : \frac{2}{3}$ adalah ...,$\frac{8}{15}$,$\frac{6}{5}$,$\frac{5}{6}$,$\frac{12}{10}$,B,60,
20,Bentuk desimal dari $\frac{3}{4}$ adalah ...,"$0,34$","$0,43$","$0,25$","$0,75$",D,60,
21,"Bentuk persen dari $0,2$ adalah ...",$2\%$,$20\%$,"$0,2\%$",$200\%$,B,60,
22,Pecahan campuran dari $\frac{7}{2}$ adalah ...,$2 \frac{1}{2}$,$3 \frac{1}{2}$,$3 \frac{2}{3}$,$4 \frac{1}{2}$,B,60,
23,Hasil dari $2 \frac{1}{2} + 1 \frac{1}{4}$ adalah ...,$3 \frac{1}{4}$,$3 \frac{2}{4}$,$3 \frac{3}{4}$,$4 \frac{1}{4}$,C,60,
24,Nilai dari $12 \times (-2) + 20$ adalah ...,$-4$,$-44$,$4$,$44$,A,60,
25,KPK dari $12$ dan $18$ adalah ...,$36$,$24$,$72$,$6$,A,60,
26,FPB dari $24$ dan $36$ adalah ...,$6$,$12$,$24$,$72$,B,60,
27,"Dalam kompetisi, jawaban benar bernilai 4, salah -1, kosong 0. Jika Budi menjawab benar 20 dan salah 5 dari 30 soal, skornya adalah ...",$75$,$80$,$70$,$65$,A,60,
28,Hasil dari $-15 - 8 + (-10)$ adalah ...,$-33$,$-17$,$3$,$-13$,A,60,
29,"Kapal selam berada pada kedalaman $50$ m, kemudian naik $20$ m. Posisi kapal selam sekarang adalah ...",$70$ m,$30$ m,$-30$ m,$-70$ m,C,60,
30,"Bentuk baku dari $0,00035$ adalah ...","$3,5 \times 10^{-4}$","$3,5 \times 10^{-5}$",$35 \times 10^{-5}$,"$3,5 \times 10^4$",A,60,
31,"Hasil dari $1,2 \times 0,5$ adalah ...","$0,6$","$6,0$","$0,06$",$60$,A,60,
32,"Hasil dari $4,8 : 1,2$ adalah ...","$0,4$",$4$,$40$,"$0,04$",B,60,
33,$(15 \times 32) + (15 \times 18)$ sama dengan ...,$15 \times (32 - 18)$,$15 \times 32 \times 18$,$15 \times (32 + 18)$,$(15+15) \times (32+18)$,C,60,
34,Pecahan di antara $\frac{1}{3}$ dan $\frac{2}{3}$ adalah ...,$\frac{1}{2}$,$\frac{1}{4}$,$\frac{1}{5}$,$\frac{1}{6}$,A,60,
35,"Ibu membeli $2\frac{1}{2}$ kg gula, lalu membeli lagi $1\frac{1}{2}$ kg. Total gula ibu adalah ...",$3$ kg,$3\frac{1}{2}$ kg,$4$ kg,$5$ kg,C,60,
36,Unsur identitas pada perkalian bilangan bulat adalah ...,$0$,$1$,$-1$,Tidak ada,B,60,
37,"Jika $a = -2, b = 3$, maka nilai $2a - b$ adalah ...",$-1$,$-7$,$1$,$7$,B,60,
38,Bilangan berikut yang nilainya lebih besar dari $-3$ adalah ...,$-4$,$-5$,$-10$,$-1$,D,60,
39,Hasil dari $\frac{2}{3}$ dari $60$ adalah ...,$20$,$30$,$40$,$50$,C,60,
40,Pak Ahmad membagikan 40 buah apel dan 30 buah jeruk kepada anak-anak dengan jumlah sama banyak. Jumlah anak paling banyak yang menerima adalah ... (FPB),$5$ anak,$10$ anak,$15$ anak,$20$ anak,B,60,
