NO,SOAL,PILIHAN A,PILIHAN B,PILIHAN C,PILIHAN D,KUNCI,timer,GAMBAR
1,"Pada masa awal kemerdekaan (1945-1959), penerapan Pancasila menghadapi tantangan berupa pemberontakan PKI di Madiun yang dipimpin oleh...",Muso,Kartosuwiryo,Westerling,Aidit,A,60,
2,Pemberontakan DI/TII yang dipimpin oleh Sekarmadji Maridjan Kartosuwiryo bertujuan untuk...,Mendirikan negara komunis,Mengganti Pancasila dengan Syariat Islam,Kembali menjadi jajahan Belanda,Mendirikan negara federal,B,60,
3,Penerapan Pancasila pada masa Orde Lama (1959-1966) dikenal dengan periode...,Demokrasi Pancasila,Demokrasi Liberal,Demokrasi Terpimpin,Reformasi,C,60,
4,Salah satu penyimpangan terhadap Pancasila pada masa Orde Lama adalah pengangkatan Presiden Soekarno sebagai...,Presiden seumur hidup,Ketua partai tunggal,Pemimpin besar revolusi dunia,Perdana Menteri,A,60,
5,Visi utama pemerintahan Orde Baru di bawah Presiden Soeharto adalah...,Melaksanakan Pancasila secara murni dan konsekuen,Menerapkan demokrasi liberal,Menjadikan Indonesia negara agama,Membubarkan partai politik,A,60,
6,"Tantangan penerapan Pancasila di era Reformasi bukan lagi pemberontakan fisik, melainkan...",Serangan militer asing,Kebebasan tanpa batas yang memicu konflik dan anarkisme,Kekurangan sumber daya alam,Tidak adanya partai politik,B,60,
7,Pancasila sebagai ideologi terbuka mengandung makna bahwa...,Nilai-nilainya dapat diubah sesuai keinginan penguasa,Dapat menerima pengaruh asing tanpa seleksi,Mampu berinteraksi dengan perkembangan zaman tanpa mengubah nilai dasarnya,Digunakan hanya untuk kepentingan kelompok tertentu,C,60,
8,Nilai-nilai Pancasila bersumber dari budaya dan pengalaman sejarah bangsa Indonesia sendiri. Hal ini merupakan dimensi...,Idealisme,Realitas,Fleksibilitas,Normatif,B,60,
9,Dimensi idealisme dalam ideologi Pancasila berarti...,Pancasila hanya angan-angan belaka,Pancasila mengandung cita-cita yang ingin dicapai dalam berbagai bidang,Pancasila bersifat kaku dan tertutup,Pancasila hanya berlaku untuk pejabat negara,B,60,
10,Perwujudan nilai Pancasila dalam bidang politik dapat dilihat dari...,Sistem pemilihan umum yang demokratis (Luber Jurdil),Perekonomian yang dikuasai konglomerat,Budaya kebarat-baratan,Hukum yang tumpul ke atas,A,60,
11,Makna Alinea pertama Pembukaan UUD 1945 adalah...,Kemerdekaan adalah hak segala bangsa,Perjuangan pergerakan kemerdekaan telah sampai pada saat yang berbahagia,Pernyataan kemerdekaan,Tujuan negara,A,60,
12,"Cita-cita nasional bangsa Indonesia yaitu negara yang merdeka, bersatu, berdaulat, adil, dan makmur terdapat dalam Pembukaan UUD 1945 alinea...",Pertama,Kedua,Ketiga,Keempat,B,60,
13,"Pernyataan bahwa kemerdekaan Indonesia merupakan ""Atas berkat rahmat Allah Yang Maha Kuasa"" terdapat pada alinea...",I,II,III,IV,C,60,
14,Berikut ini yang bukan merupakan tujuan negara Indonesia yang tercantum dalam alinea keempat Pembukaan UUD 1945 adalah...,Melindungi segenap bangsa Indonesia,Memajukan kesejahteraan umum,Mencerdaskan kehidupan bangsa,Ikut serta memperluas wilayah kekuasaan,D,60,
15,"Pokok pikiran pertama Pembukaan UUD 1945 adalah ""Negara melindungi segenap bangsa Indonesia dan seluruh tumpah darah Indonesia"". Ini merupakan penjabaran Sila ke...",1,2,3,4,C,60,
16,Pokok pikiran kedua Pembukaan UUD 1945 berkaitan dengan...,Kedaulatan rakyat,Keadilan sosial,Ketuhanan Yang Maha Esa,Persatuan,B,60,
17,Hubungan antara Pembukaan UUD 1945 dengan Proklamasi Kemerdekaan adalah...,Pembukaan UUD 1945 merupakan penjabaran terperinci dari Proklamasi,Proklamasi membatalkan Pembukaan UUD 1945,Tidak ada hubungan sama sekali,Pembukaan UUD 1945 dibuat sebelum Proklamasi,A,60,
18,Kedudukan Pembukaan UUD 1945 bagi bangsa Indonesia adalah sebagai...,Hukum adat,Kaidah negara yang fundamental (Staatsfundamentalnorm),Peraturan pemerintah,Undang-undang biasa,B,60,
19,Mengubah Pembukaan UUD 1945 pada hakikatnya sama dengan...,Mengamandemen pasal-pasal,Membubarkan Negara Kesatuan Republik Indonesia,Menyempurnakan konstitusi,Mengganti presiden,B,60,
20,Sistematika UUD 1945 setelah amandemen terdiri atas...,Pembukaan dan Batang Tubuh,"Pembukaan, Batang Tubuh, dan Penjelasan",Pembukaan dan Pasal-pasal,Pasal-pasal dan Aturan Peralihan,C,60,
21,Kedaulatan berada di tangan rakyat dan dilaksanakan menurut Undang-Undang Dasar. Hal ini tercantum dalam UUD 1945 Pasal...,1 Ayat 1,1 Ayat 2,1 Ayat 3,2 Ayat 1,B,60,
22,Teori kedaulatan yang dianut oleh Indonesia berdasarkan UUD 1945 adalah teori kedaulatan...,Tuhan dan Raja,Raja dan Negara,Hukum dan Rakyat,Negara dan Hukum,C,60,
23,Sifat kedaulatan yang artinya kekuasaan tidak berasal dari kekuasaan lain yang lebih tinggi adalah...,Asli,Permanen,Tunggal,Tidak terbatas,A,60,
24,Kekuasaan negara untuk berhubungan dan bekerja sama dengan bangsa lain tanpa terikat oleh kekuasaan lain disebut kedaulatan...,Ke dalam,Ke luar,Mutlak,Terbatas,B,60,
25,Lembaga yang berwenang mengubah dan menetapkan Undang-Undang Dasar adalah...,DPR,Presiden,MPR,MK,C,60,
26,Presiden dan Wakil Presiden dipilih secara langsung oleh rakyat melalui Pemilu. Hal ini mulai berlaku sejak...,Pilpres 1999,Pilpres 2004,Pilpres 2009,Pilpres 2014,B,60,
27,Tugas dan wewenang DPR antara lain membentuk Undang-Undang yang dibahas bersama...,MPR,DPD,Presiden,Mahkamah Agung,C,60,
28,"Lembaga negara yang memiliki fungsi legislasi, anggaran, dan pengawasan adalah...",MPR,DPR,BPK,Presiden,B,60,
29,Anggota MPR terdiri dari...,Anggota DPR dan Anggota DPRD,Anggota DPR dan Menteri,Anggota DPR dan Anggota DPD,Anggota DPD dan DPRD,C,60,
30,Lembaga yang berwenang menguji undang-undang terhadap UUD 1945 dan memutus sengketa hasil pemilu adalah...,Mahkamah Agung,Mahkamah Konstitusi,Komisi Yudisial,Kejaksaan Agung,B,60,
31,Komisi Yudisial (KY) memiliki wewenang untuk...,Mengadili koruptor,Memecat presiden,Mengusulkan pengangkatan Hakim Agung,Membuat undang-undang,C,60,
32,Badan yang bertugas memeriksa pengelolaan dan tanggung jawab keuangan negara adalah...,KPK,BPK,DPR,Kementerian Keuangan,B,60,
33,"Asas Pemilu di Indonesia adalah Luber dan Jurdil. ""Luber"" singkatan dari...","Langsung, Umum, Bebas, Rahasia","Luas, Bebas, Rahasia, Jujur","Langsung, Umum, Bersih, Rapi","Lancar, Umum, Bebas, Rahasia",A,60,
34,Demokrasi Pancasila mengutamakan pengambilan keputusan melalui...,Suara terbanyak (Voting),Musyawarah untuk mufakat,Kehendak pimpinan,Intervensi asing,B,60,
35,Bentuk negara kesatuan dengan sistem desentralisasi memberikan kesempatan kepada daerah untuk...,Memisahkan diri dari NKRI,Mengatur dan mengurus rumah tangganya sendiri (Otonomi Daerah),Membuat mata uang sendiri,Memiliki angkatan perang sendiri,B,60,
36,Pasal 1 Ayat (3) UUD 1945 menegaskan bahwa Negara Indonesia adalah negara...,Agama,Kekulawargaan,Hukum,Kerajaan,C,60,
37,Masa jabatan Presiden dan Wakil Presiden adalah lima tahun dan dapat dipilih kembali dalam jabatan yang sama untuk...,Satu kali masa jabatan,Dua kali masa jabatan,Tiga kali masa jabatan,Selamanya,A,60,
38,Sikap yang sesuai dengan prinsip kedaulatan rakyat dalam kehidupan sekolah adalah...,Memaksakan kehendak kepada teman,Melakukan pemilihan ketua OSIS secara demokratis,Menunjuk ketua kelas secara sepihak,Tidak mau mendengar pendapat guru,B,60,
