NO,SOAL,PILIHAN A,PILIHAN B,PILIHAN C,PILIHAN D,KUNCI,timer,GAMBAR
1,Sesuatu yang dapat diukur dan dinyatakan dengan angka disebut ...,Satuan,Besaran,Nilai,Pengukuran,B,60,
2,Di bawah ini yang merupakan kelompok Besaran Pokok adalah ...,"Panjang, Luas, Waktu","Massa, Panjang, Waktu","Volume, Suhu, Massa","Kecepatan, Gaya, Usaha",B,60,
3,Satuan Internasional (SI) untuk besaran Suhu adalah ...,Celcius ($^\circ\text{C}$),Reamur ($^\circ\text{R}$),Fahrenheit ($^\circ\text{F}$),Kelvin ($\text{K}$),D,60,
4,"Alat ukur panjang yang memiliki ketelitian hingga $0,01 \text{ mm}$ adalah ...",Mistar,Jangka Sorong,Mikrometer Sekrup,Meteran Kelos,C,60,
5,Satuan Internasional (SI) untuk besaran Intensitas Cahaya adalah ...,Kandela (cd),Mol,Ampere,Kelvin,A,60,
6,Besaran yang satuannya diturunkan dari besaran pokok disebut ...,Besaran Baku,Besaran Standar,Besaran Turunan,Besaran Skalar,C,60,
7,Berikut ini yang termasuk Besaran Turunan adalah ...,"Massa, Waktu, Panjang","Luas, Volume, Kecepatan","Suhu, Kuat Arus, Jumlah Zat","Panjang, Massa, Volume",B,60,
8,Satuan dari besaran Kecepatan dalam SI adalah ...,$\text{km/jam}$,$\text{m/s}$,$\text{m/s}^2$,$\text{Newton}$,B,60,
9,Membandingkan suatu besaran dengan besaran lain yang ditetapkan sebagai satuan disebut ...,Mengukur,Menghitung,Mengira-ngira,Mengkalibrasi,A,60,
10,"Satuan jengkal, depa, dan hasta termasuk dalam satuan ...",Baku,Internasional,Tidak Baku,CGS,C,60,
11,"Hasil konversi dari $2,5 \text{ km}$ ke meter adalah ...",$250 \text{ m}$,$2.500 \text{ m}$,$25.000 \text{ m}$,$25 \text{ m}$,B,60,
12,Massa benda $500 \text{ gram}$ jika dinyatakan dalam kilogram adalah ...,"$0,5 \text{ kg}$",$5 \text{ kg}$,$50 \text{ kg}$,"$0,05 \text{ kg}$",A,60,
13,Waktu $2 \text{ jam}$ jika dikonversi ke detik (sekon) adalah ...,$3.600 \text{ s}$,$60 \text{ s}$,$7.200 \text{ s}$,$120 \text{ s}$,C,60,
14,Suhu benda $27^\circ\text{C}$ jika dikonversi ke skala Kelvin adalah ...,$273 \text{ K}$,$300 \text{ K}$,$246 \text{ K}$,$327 \text{ K}$,B,60,
15,Rumus konversi suhu dari Celcius ($C$) ke Reamur ($R$) adalah ...,$R = \frac{9}{5} C$,$R = \frac{5}{4} C$,$R = \frac{4}{5} C$,$R = C + 273$,C,60,
16,Luas tanah $1 \text{ hektar}$ setara dengan ...,$100 \text{ m}^2$,$1.000 \text{ m}^2$,$10.000 \text{ m}^2$,$100.000 \text{ m}^2$,C,60,
17,Volume $1 \text{ liter}$ sama dengan ...,$1 \text{ m}^3$,$1 \text{ dm}^3$,$1 \text{ cm}^3$,$10 \text{ dm}^3$,B,60,
18,"Sebuah mobil melaju $72 \text{ km/jam}$. Dalam satuan $\text{m/s}$, kecepatannya adalah ...",$10 \text{ m/s}$,$15 \text{ m/s}$,$20 \text{ m/s}$,$25 \text{ m/s}$,C,60,
19,Nilai $1 \text{ g/cm}^3$ setara dengan ... $\text{kg/m}^3$.,$10$,$100$,$1.000$,$10.000$,C,60,
20,Satuan energi dalam SI adalah ...,Joule,Watt,Newton,Pascal,A,60,
21,Zat yang memiliki bentuk dan volume tetap adalah ciri dari zat ...,Padat,Cair,Gas,Plasma,A,60,
22,Partikel zat gas memiliki karakteristik ...,Berdekatan dan teratur,Berjauhan dan sangat bebas,Berdekatan tapi bebas,Terikat sangat kuat,B,60,
23,Gaya tarik-menarik antar partikel yang sejenis disebut ...,Adhesi,Kohesi,Kapilaritas,Meniskus,B,60,
24,"Jika air ditaruh di daun talas, air akan berbentuk bulat. Hal ini terjadi karena ...",Adhesi > Kohesi,Kohesi > Adhesi,Adhesi = Kohesi,Tidak ada gaya tarik,B,60,
25,Peristiwa naiknya minyak tanah pada sumbu kompor disebut ...,Tegangan permukaan,Viskositas,Kapilaritas,Difusi,C,60,
26,Perubahan wujud dari padat menjadi cair disebut ...,Membeku,Mencair (Melebur),Menguap,Menyublim,B,60,
27,Peristiwa kapur barus yang lama-kelamaan habis di lemari adalah contoh ...,Menguap,Mencair,Menyublim,Mengkristal,C,60,
28,Embun yang terbentuk di pagi hari adalah contoh perubahan wujud dari ...,Cair ke Gas,Gas ke Cair,Padat ke Cair,Gas ke Padat,B,60,
29,Perubahan wujud yang melepaskan kalor (panas) adalah ...,Mencair dan Menguap,Membeku dan Mengembun,Menyublim dan Mencair,Menguap dan Menyublim,B,60,
30,Titik didih air pada tekanan udara normal (1 atm) adalah ...,$0^\circ\text{C}$,$80^\circ\text{C}$,$100^\circ\text{C}$,$273^\circ\text{C}$,C,60,
31,Permukaan air dalam tabung reaksi berbentuk cekung (meniskus cekung) karena ...,Adhesi kaca-air > Kohesi air,Kohesi air > Adhesi kaca-air,Adhesi = Kohesi,Tidak ada gaya,A,60,
32,Perbandingan antara massa benda dengan volumenya disebut ...,Berat jenis,Massa Jenis ($\rho$),Gaya berat,Tekanan,B,60,
33,Rumus massa jenis ($\rho$) adalah ...,$\rho = m \times v$,$\rho = \frac{v}{m}$,$\rho = \frac{m}{v}$,$\rho = m + v$,C,60,
34,Sebuah benda bermassa $100 \text{ gram}$ dan volumenya $20 \text{ cm}^3$. Massa jenisnya adalah ...,"$0,2 \text{ g/cm}^3$",$5 \text{ g/cm}^3$,$20 \text{ g/cm}^3$,$2.000 \text{ g/cm}^3$,B,60,
35,"Jika massa jenis benda lebih kecil dari massa jenis air, maka benda tersebut akan ... di air.",Terapung,Melayang,Tenggelam,Larut,A,60,
36,"Batu bermassa $50 \text{ kg}$ memiliki volume $0,02 \text{ m}^3$. Massa jenis batu tersebut adalah ...",$250 \text{ kg/m}^3$,$1.000 \text{ kg/m}^3$,$2.500 \text{ kg/m}^3$,$25 \text{ kg/m}^3$,C,60,
37,Salah satu contoh perubahan kimia adalah ...,Es mencair,Besi berkarat,Air mendidih,Kayu dipotong,B,60,
38,Alat untuk mengukur massa jenis zat cair secara langsung disebut ...,Barometer,Hidrometer,Termometer,Manometer,B,60,
39,Perubahan wujud dari gas menjadi padat disebut ...,Mengkristal (Deposisi),Menyublim,Membeku,Mengembun,A,60,
40,Sifat partikel zat cair adalah ...,"Bentuk tetap, volume berubah","Bentuk berubah, volume tetap",Bentuk dan volume berubah,Jarak partikel sangat jauh,B,60,
