NO,SOAL,PILIHAN A,PILIHAN B,PILIHAN C,PILIHAN D,KUNCI,timer,GAMBAR
1,Benda dikatakan bergerak jika ...,Posisinya tetap terhadap acuan,Posisinya berubah terhadap acuan,Memiliki massa yang besar,Bentuknya berubah,B,60,
2,Rumus untuk mencari kelajuan ($v$) adalah ...,$v = s \times t$,$v = \frac{t}{s}$,$v = \frac{s}{t}$,$v = m \times a$,C,60,
3,Seseorang berjalan sejauh 100 meter dalam waktu 20 detik. Kelajuannya adalah ...,$2 \text{ m/s}$,$5 \text{ m/s}$,$20 \text{ m/s}$,$2000 \text{ m/s}$,B,60,
4,"""Setiap benda akan mempertahankan keadaan diam atau bergerak lurus beraturan kecuali ada gaya yang bekerja padanya."" Ini adalah bunyi ...",Hukum I Newton,Hukum II Newton,Hukum III Newton,Hukum Archimedes,A,60,
5,"Saat kita naik bus yang direm mendadak, tubuh kita akan terdorong ke depan. Hal ini contoh penerapan ...",Hukum I Newton (Kelembaman),Hukum II Newton (Percepatan),Hukum III Newton (Aksi-Reaksi),Gaya Gesek,A,60,
6,Peristiwa burung terbang mengepakkan sayap ke bawah (aksi) dan tubuh terdorong ke atas (reaksi) sesuai dengan ...,Hukum I Newton,Hukum II Newton,Hukum III Newton,Hukum Gravitasi,C,60,
7,Alat gerak pasif pada manusia adalah ...,Otot,Tulang,Saraf,Kulit,B,60,
8,Sendi yang memungkinkan gerakan ke satu arah saja (seperti pada siku dan lutut) adalah ...,Sendi Peluru,Sendi Putar,Sendi Engsel,Sendi Pelana,C,60,
9,Gerak menutupnya daun putri malu saat disentuh disebut gerak ...,Seismonasti,Fototropisme,Geotropisme,Hidrotropisme,A,60,
10,Gerak akar tumbuhan yang selalu menuju ke pusat bumi disebut ...,Fototropisme,Geotropisme positif,Geotropisme negatif,Nasti,B,60,
11,Usaha ($W$) didefinisikan sebagai hasil kali antara ...,Gaya dan Waktu,Gaya dan Perpindahan,Massa dan Percepatan,Kecepatan dan Waktu,B,60,
12,Budi mendorong tembok sekuat tenaga tetapi tembok tidak bergerak. Usaha yang dilakukan Budi adalah ...,Sangat besar,Sebanding dengan gayanya,Nol,Bernilai negatif,C,60,
13,"Jika gaya dorong $F = 20 \text{ N}$ menyebabkan benda berpindah sejauh $s = 5 \text{ m}$, maka besar usahanya adalah ...",$4 \text{ Joule}$,$15 \text{ Joule}$,$25 \text{ Joule}$,$100 \text{ Joule}$,D,60,
14,Alat yang digunakan untuk mempermudah melakukan usaha disebut ...,Pesawat Sederhana,Mesin Kalor,Alat Ukur,Pesawat Rumit,A,60,
15,Berikut ini yang bukan termasuk jenis pesawat sederhana adalah ...,Katrol,Tuas (Pengungkit),Bidang Miring,Sepeda Motor,D,60,
16,Gunting dan jungkat-jungkit termasuk tuas golongan ...,Pertama (Tumpuan di tengah),Kedua (Beban di tengah),Ketiga (Kuasa di tengah),Keempat,A,60,
17,Alat berikut yang menggunakan prinsip bidang miring adalah ...,Gunting,Sekrup dan Tangga,Gerobak dorong,Katrol sumur,B,60,
18,Keuntungan mekanis (KM) dari katrol tetap tunggal adalah ...,$1$,$2$,$3$,$4$,A,60,
19,Tujuan penggunaan katrol majemuk (takal) adalah untuk ...,Memperbesar gaya,Mengubah arah gaya saja,Memperkecil gaya kuasa,Mempercepat gerak,C,60,
20,"Pada tuas, jika lengan kuasa lebih panjang dari lengan beban, maka gaya yang dikeluarkan akan ...",Lebih besar dari beban,Lebih kecil dari beban,Sama dengan beban,Nol,B,60,
21,Fungsi utama akar pada tumbuhan adalah ...,Tempat fotosintesis,Menyerap air dan zat hara,Alat perkembangbiakan,Tempat pertukaran gas,B,60,
22,Jaringan yang berfungsi mengangkut air dari akar ke daun adalah ...,Xilem,Floem,Kambium,Epidermis,A,60,
23,Jaringan yang berfungsi mengangkut hasil fotosintesis dari daun ke seluruh tubuh tumbuhan adalah ...,Xilem,Floem,Palisade,Korteks,B,60,
24,Organ tumbuhan yang menjadi tempat utama terjadinya fotosintesis adalah ...,Akar,Batang,Daun,Bunga,C,60,
25,Lubang kecil pada daun yang berfungsi sebagai tempat keluar masuknya udara (pertukaran gas) disebut ...,Lentisel,Stomata (Mulut Daun),Xilem,Rambut akar,B,60,
26,Bagian bunga yang berfungsi sebagai alat kelamin jantan adalah ...,Putik,Benang sari,Mahkota,Kelopak,B,60,
27,Perbedaan tumbuhan dikotil dan monokotil pada bagian akar adalah ...,"Dikotil serabut, Monokotil tunggang","Dikotil tunggang, Monokotil serabut",Keduanya serabut,Keduanya tunggang,B,60,
28,Gas yang diperlukan tumbuhan untuk proses fotosintesis adalah ...,Oksigen ($O_2$),Karbon dioksida ($CO_2$),Nitrogen ($N_2$),Hidrogen ($H_2$),B,60,
29,Hasil dari proses fotosintesis adalah ...,Oksigen dan Glukosa (Karbohidrat),Karbon dioksida dan Air,Air dan Oksigen,Mineral dan Vitamin,A,60,
30,Kambium hanya dimiliki oleh tumbuhan berkeping dua (dikotil). Fungsi kambium adalah ...,Memperpanjang akar,Memperbesar diameter batang,Mengangkut air,Menyerap cahaya,B,60,
31,"Zat yang ditambahkan ke dalam makanan untuk meningkatkan kualitas, keawetan, atau rasa disebut ...",Zat Adiktif,Zat Aditif,Psikotropika,Narkotika,B,60,
32,Bahan pewarna alami yang memberikan warna hijau adalah ...,Kunyit,Daun suji / Pandan,Wortel,Buah naga,B,60,
33,Kunyit (Curcuma) sering digunakan sebagai pewarna alami untuk warna ...,Merah,Hijau,Kuning,Biru,C,60,
34,Contoh pemanis buatan yang sering digunakan adalah ...,Gula pasir,Gula merah,Aspartam dan Sakarin,Madu,C,60,
35,Monosodium Glutamat (MSG) atau vetsin digunakan sebagai ...,Pemanis,Pengawet,Pewarna,Penyedap rasa,D,60,
36,Garam dapur dan gula dalam jumlah banyak dapat berfungsi sebagai ... alami.,Pewarna,Pengawet,Pengental,Pemanis,B,60,
37,Zat aditif pengawet buatan yang sering dipakai pada minuman ringan atau saus adalah ...,Natrium Benzoat,Tartrazin,Siklamat,Lesitin,A,60,
38,Dampak negatif penggunaan pewarna tekstil (seperti Rhodamin B) pada makanan adalah ...,Makanan lebih enak,Makanan tahan lama,Menyebabkan kanker (Karsinogenik),Makanan lebih menarik,C,60,
39,Zat aditif yang berfungsi untuk mencegah terpisahnya minyak dan air dalam makanan (misalnya pada mayones) disebut ...,Pengental,Pengemulsi,Pemutih,Antioksidan,B,60,
40,Kelebihan menggunakan zat aditif alami dibandingkan buatan adalah ...,Warnanya lebih mencolok,Lebih murah dan praktis,Lebih aman bagi kesehatan,Tahan lebih lama,C,60,
