NO,SOAL,PILIHAN A,PILIHAN B,PILIHAN C,PILIHAN D,KUNCI,timer,GAMBAR
1,Tokoh yang dikenal sebagai penggali Pancasila adalah...,Ir. Soekarno,Drs. Moh. Hatta,Muh. Yamin,Soepomo,A,60,
2,Pidato yang berisi gagasan awal Pancasila disampaikan pada tanggal…,1 Juni 1945,29 Mei 1945,22 Juni 1945,17 Agustus 1945,A,60,
3,Panitia yang merumuskan dasar negara pada 22 Juni 1945 disebut…,BPUPKI,PPKI,Panitia Sembilan,MPRS,C,60,
4,Naskah yang berisi rumusan awal Pancasila dinamakan…,Dekrit Presiden,Piagam Jakarta,UUDS 1950,Pembukaan UUD 1945,B,60,
5,Sidang BPUPKI yang membahas dasar negara berlangsung pada…,10–21 Juli 1945,1–10 Juni 1945,18–20 Agustus 1945,5–7 Agustus 1945,B,60,
6,Yang termasuk tokoh perumus dasar negara berikut ini adalah…,Cut Nyak Dien,R.A. Kartini,Mr. Soepomo,Gajah Mada,C,60,
7,Rumusan Pancasila yang sah dan berlaku hingga kini terdapat pada…,Batang tubuh UUD 1945,Pembukaan UUD 1945 alinea keempat,Piagam Jakarta,Dekrit Presiden,B,60,
8,Sila pertama Pancasila berbunyi…,Kemanusiaan yang Adil dan Beradab,Ketuhanan Yang Maha Esa,Persatuan Indonesia,Keadilan Sosial,B,60,
9,Sila kedua Pancasila mengajarkan kita untuk…,Takwa kepada Tuhan,Bersatu demi bangsa,Menghargai sesama manusia,Bermusyawarah,C,60,
10,Contoh penerapan nilai Ketuhanan dalam kehidupan sekolah adalah…,Menghormati umat beragama lain,Melakukan kerja bakti,Pemilu OSIS,Mengumpulkan sampah,A,60,
11,Contoh penerapan sila Persatuan Indonesia adalah…,Tidak membeda-bedakan teman,Melaksanakan ibadah,Menghindari kekerasan,Bersikap adil,A,60,
12,Contoh perilaku sesuai sila Kerakyatan adalah…,Mengutamakan musyawarah,Tidak menghina orang lain,Berdoa sebelum belajar,Bekerja keras,A,60,
13,Contoh penerapan sila Keadilan Sosial adalah…,Bersedekah,Menghargai teman,Mengikuti kerja bakti,Mendengarkan pendapat teman,C,60,
14,Sikap menghormati perbedaan suku merupakan penerapan sila…,1,2,3,4,C,60,
15,Membantu teman yang terkena musibah merupakan penerapan sila…,2,3,4,5,A,60,
16,Bersikap adil kepada semua teman termasuk nilai…,Sila 1,Sila 2,Sila 4,Sila 5,D,60,
17,Nilai musyawarah untuk mufakat terdapat pada sila…,3,4,5,2,B,60,
18,Perilaku tidak sesuai sila pertama adalah…,Beribadah,Bertoleransi,Mengejek agama lain,Menghargai perayaan agama,C,60,
19,Mengutamakan kepentingan umum di atas kepentingan pribadi adalah nilai…,Sila 4,Sila 2,Sila 3,Sila 5,C,60,
20,Norma yang berasal dari hati nurani manusia disebut norma…,Agama,Kesusilaan,Kesopanan,Hukum,B,60,
21,Norma yang berhubungan dengan peraturan tertulis negara disebut…,Agama,Kesopanan,Hukum,Kebiasaan,C,60,
22,Aturan yang mengatur perilaku sehari-hari dalam masyarakat disebut…,Norma agama,Norma hukum,Norma kesopanan,Adat istiadat,C,60,
23,Contoh pelanggaran norma kesopanan adalah…,Tidak memakai helm,Tidak mengucapkan salam,Korupsi,Tidak membayar pajak,B,60,
24,Contoh pelanggaran norma hukum adalah…,Membuang sampah sembarangan,Tidak menghormati orang tua,Melanggar rambu lalu lintas,Tidak bersalaman,C,60,
25,Tujuan norma dalam masyarakat adalah…,Menghambat kebebasan,Mengatur keharmonisan hidup,Membatasi kreativitas,Membuat masyarakat takut,B,60,
26,Sanksi norma agama bersifat…,Tidak tegas,Moral,Sangat tegas dan pasti,Bersifat dosa dan pahala,D,60,
27,Norma yang memiliki sanksi paling tegas adalah…,Kesopanan,Agama,Hukum,Kesusilaan,C,60,
28,Menghormati guru di sekolah merupakan norma…,Agama,Kesopanan,Hukum,Kebiasaan,B,60,
29,Tidak mencuri barang teman merupakan penerapan norma…,Agama,Kesusilaan,Kesopanan,Adat,B,60,
30,Akibat jika masyarakat tidak menaati norma adalah…,Terjadi ketertiban,Lingkungan semakin aman,Terjadi kekacauan,Semua damai,C,60,
31,Contoh norma kesusilaan adalah…,Tidak mencuri,Tidak berkata kasar,Wajib memiliki KTP,Mengenakan seragam,A,60,
32,Peraturan yang dibuat pemerintah disebut norma…,Hukum,Agama,Kesusilaan,Kebiasaan,A,60,
33,Sanksi bagi pelanggar norma kesopanan adalah…,Penjara,Denda,Tidak disukai masyarakat,Dosa,C,60,
34,Contoh perilaku patuh norma hukum adalah…,Mentaati rambu lalu lintas,Menghormati tamu,Beribadah,Tidak berbohong,A,60,
35,Aturan tidak tertulis yang berkembang dalam masyarakat disebut…,Hukum,Adat istiadat,Kesusilaan,Agama,B,60,
36,Perilaku menghormati sesama manusia merupakan nilai…,Sila 1,Sila 2,Sila 4,Sila 5,B,60,
37,Nilai keadilan sosial dapat diwujudkan dengan cara…,Mengambil hak orang lain,Memberi kesempatan yang sama,Membeda-bedakan teman,Tidak peduli sesama;,B,60,
38,Ungkapan “Bhinneka Tunggal Ika” mencerminkan sila…,1,2,3,5,C,60,
39,Penerapan nilai gotong royong sesuai dengan sila…,1,3,4,5,D,60,
40,Lembaga negara mandiri yang berwenang mengadili pada tingkat kasasi adalah...,Mahkamah Konstitusi,Mahkamah Agung,Pengadilan Negeri,Pengadilan Tinggi,B,60,
