NO,SOAL,PILIHAN A,PILIHAN B,PILIHAN C,PILIHAN D,KUNCI,timer,GAMBAR
1,Hasil dari $5^3$ adalah ...,$15$,$25$,$125$,$225$,C,60,
2,Bentuk sederhana dari $p^4 \times p^3$ adalah ...,$p^7$,$p^{12}$,$2p^7$,$p$,A,60,
3,Nilai dari $(2^3)^4$ adalah ...,$2^7$,$2^{12}$,$2^{-1}$,$6^4$,B,60,
4,Hasil dari $3^{-2}$ adalah ...,$-6$,$-9$,$\frac{1}{6}$,$\frac{1}{9}$,D,60,
5,Bentuk sederhana dari $\frac{a^8}{a^2}$ adalah ...,$a^4$,$a^6$,$a^{10}$,$a^{16}$,B,60,
6,Hasil dari $2^0 + 3^0$ adalah ...,$0$,$1$,$2$,$5$,C,60,
7,Bentuk baku dari $23.500.000$ adalah ...,"$2,35 \times 10^6$","$2,35 \times 10^7$","$2,35 \times 10^8$","$23,5 \times 10^6$",B,60,
8,Nilai dari $\sqrt{144}$ adalah ...,$11$,$12$,$13$,$14$,B,60,
9,Bentuk sederhana dari $\sqrt{75}$ adalah ...,$5\sqrt{3}$,$3\sqrt{5}$,$5\sqrt{2}$,$2\sqrt{5}$,A,60,
10,Hasil dari $\sqrt{3} \times \sqrt{12}$ adalah ...,$4$,$6$,$\sqrt{15}$,$3\sqrt{4}$,B,60,
11,Bentuk rasional dari $\frac{6}{\sqrt{3}}$ adalah ...,$2$,$3$,$2\sqrt{3}$,$3\sqrt{3}$,C,60,
12,Nilai $x$ yang memenuhi persamaan $2^x = 32$ adalah ...,$3$,$4$,$5$,$6$,C,60,
13,Hasil dari $4^{3/2}$ adalah ...,$6$,$8$,$12$,$16$,B,60,
14,Bentuk pangkat positif dari $a^{-5}$ adalah ...,$-a^5$,$\frac{1}{a^{-5}}$,$\frac{1}{a^5}$,$a^5$,C,60,
15,Gradien garis dengan persamaan $y = 3x - 5$ adalah ...,$3$,$-5$,$-3$,$5$,A,60,
